0,828 1,108402E-11 -0,207
0,828 -9,78191E-11 -0,207
0,828 -5,22576E-10 -0,207
0,828 -6,456377E-10 -0,207
0,828 -7,336032E-10 -0,207
0,828 -7,648039E-10 -0,207
0,828 -7,915487E-10 -0,207
0,828 -7,915487E-10 -0,207
0,828 -8,835354E-10 -0,207
0,828 -9,127364E-10 -0,207
0,828 -1,754437E-09 -0,207
0,828 -1,280331E-09 -0,207
0,828 -1,280331E-09 -0,207
0,828 -1,762355E-09 -0,207
0,828 -1,762355E-09 -0,207
0,828 -1,262818E-09 -0,207
0,828 -1,745313E-09 -0,207
0,828 -1,745313E-09 -0,207
0,828 -1,230286E-09 -0,207
0,828 -1,230286E-09 -0,207
0,828 -3,862472E-10 -0,207
0,828 -3,862472E-10 -0,207
0,828 -3,581185E-11 -0,207
0,828 -1,825593E-11 -0,207
0,828 -1,825593E-11 -0,207
0,828 -3,514706E-11 -0,207
0,828 -3,514706E-11 -0,207
0,828 -6,382725E-11 -0,207
0,828 -6,382725E-11 -0,207
0,828 -9,67031E-11 -0,207
0,828 -9,67031E-11 -0,207
0,828 -1,282148E-10 -0,207
0,828 -1,585218E-10 -0,207
0,828 -1,585218E-10 -0,207
0,828 -3,076699E-10 -0,207
0,828 -4,611721E-10 -0,207
0,828 -5,519714E-10 -0,207
0,828 -6,091997E-10 -0,207
0,828 -6,675699E-10 -0,207
0,828 -7,102451E-10 -0,207
0,828 -7,488437E-10 -0,207
0,828 -7,488437E-10 -0,207
0,828 -7,864558E-10 -0,207
0,828 -8,17777E-10 -0,207
0,828 -8,17777E-10 -0,207
0,828 -8,508194E-10 -0,207
0,828 -8,508194E-10 -0,207
0,828 -8,823234E-10 -0,207
0,828 -9,08135E-10 -0,207
0,828 -9,08135E-10 -0,207
0,828 -9,394373E-10 -0,207
0,828 -1,751635E-09 -0,207
0,828 -1,751635E-09 -0,207
0,828 -1,282781E-09 -0,207
0,828 -1,282781E-09 -0,207
0,828 -4,316545E-10 -0,207
0,828 -4,316545E-10 -0,207
0,828 -1,916759E-10 -0,207
0,828 -1,832231E-10 -0,207
0,828 -1,832231E-10 -0,207
0,828 -2,048463E-10 -0,207
0,828 -2,311689E-10 -0,207
0,828 -2,311689E-10 -0,207
0,828 -2,617714E-10 -0,207
0,828 -2,617714E-10 -0,207
0,828 -2,929287E-10 -0,207
0,828 -2,929287E-10 -0,207
0,828 -3,21481E-10 -0,207
0,828 -3,621676E-10 -0,207
0,828 -3,621676E-10 -0,207
0,828 -4,030655E-10 -0,207
0,828 -4,030655E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
